"state","sex","age","pop","year"
"South Dakota","Male","10 to 14 years",28940,2014
"Tennessee","Male","10 to 14 years",218021,2014
"Texas","Male","10 to 14 years",988576,2014
"Utah","Male","10 to 14 years",124846,2014
"Vermont","Male","10 to 14 years",19053,2014
"Virginia","Male","10 to 14 years",265683,2014
"Washington","Male","10 to 14 years",225014,2014
"West Virginia","Male","10 to 14 years",55258,2014
"Wisconsin","Male","10 to 14 years",192500,2014
"Wyoming","Male","10 to 14 years",19986,2014
"Puerto Rico","Male","10 to 14 years",127614,2014
"Alabama","Male","15 to 17 years",98383,2014
"Alaska","Male","15 to 17 years",15875,2014
"Arizona","Male","15 to 17 years",138205,2014
"Arkansas","Male","15 to 17 years",60542,2014
"California","Male","15 to 17 years",824086,2014
"Colorado","Male","15 to 17 years",102411,2014
"Connecticut","Male","15 to 17 years",76297,2014
"Delaware","Male","15 to 17 years",17732,2014
"District of Columbia","Male","15 to 17 years",7923,2014
"Florida","Male","15 to 17 years",363887,2014
"Georgia","Male","15 to 17 years",211928,2014
"Hawaii","Male","15 to 17 years",25012,2014
"Idaho","Male","15 to 17 years",36061,2014
"Illinois","Male","15 to 17 years",273336,2014
"Indiana","Male","15 to 17 years",139763,2014
"Iowa","Male","15 to 17 years",62603,2014
"Kansas","Male","15 to 17 years",60857,2014
"Kentucky","Male","15 to 17 years",87523,2014
"Louisiana","Male","15 to 17 years",94238,2014
"Maine","Male","15 to 17 years",25164,2014
"Maryland","Male","15 to 17 years",119430,2014
"Massachusetts","Male","15 to 17 years",130374,2014
"Michigan","Male","15 to 17 years",213440,2014
"Minnesota","Male","15 to 17 years",110962,2014
"Mississippi","Male","15 to 17 years",63242,2014
"Missouri","Male","15 to 17 years",123125,2014
"Montana","Male","15 to 17 years",19753,2014
"Nebraska","Male","15 to 17 years",38290,2014
"Nevada","Male","15 to 17 years",56857,2014
"New Hampshire","Male","15 to 17 years",27046,2014
"New Jersey","Male","15 to 17 years",185466,2014
"New Mexico","Male","15 to 17 years",43078,2014
"New York","Male","15 to 17 years",387173,2014
"North Carolina","Male","15 to 17 years",194118,2014
"North Dakota","Male","15 to 17 years",13297,2014
"Ohio","Male","15 to 17 years",241249,2014
"Oklahoma","Male","15 to 17 years",78551,2014
"Oregon","Male","15 to 17 years",75734,2014
"Pennsylvania","Male","15 to 17 years",254501,2014
"Rhode Island","Male","15 to 17 years",20385,2014
"South Carolina","Male","15 to 17 years",92475,2014
"South Dakota","Male","15 to 17 years",17358,2014
"Tennessee","Male","15 to 17 years",129906,2014
"Texas","Male","15 to 17 years",582471,2014
"Utah","Male","15 to 17 years",69225,2014
"Vermont","Male","15 to 17 years",12020,2014
"Virginia","Male","15 to 17 years",160987,2014
"Washington","Male","15 to 17 years",137268,2014
"West Virginia","Male","15 to 17 years",34198,2014
"Wisconsin","Male","15 to 17 years",117060,2014
"Wyoming","Male","15 to 17 years",11378,2014
"Puerto Rico","Male","15 to 17 years",81758,2014
"Alabama","Male","18 and 19 years",68780,2014
"Alaska","Male","18 and 19 years",11003,2014
"Arizona","Male","18 and 19 years",95106,2014
"Arkansas","Male","18 and 19 years",41876,2014
"California","Male","18 and 19 years",568697,2014
"Colorado","Male","18 and 19 years",73833,2014
"Connecticut","Male","18 and 19 years",54373,2014
"Delaware","Male","18 and 19 years",13411,2014
"District of Columbia","Male","18 and 19 years",10439,2014
"Florida","Male","18 and 19 years",250662,2014
"Georgia","Male","18 and 19 years",152668,2014
"Hawaii","Male","18 and 19 years",17382,2014
"Idaho","Male","18 and 19 years",22178,2014
"Illinois","Male","18 and 19 years",185243,2014
"Indiana","Male","18 and 19 years",98126,2014
"Iowa","Male","18 and 19 years",46968,2014
"Kansas","Male","18 and 19 years",43268,2014
"Kentucky","Male","18 and 19 years",60624,2014
"Louisiana","Male","18 and 19 years",64135,2014
"Maine","Male","18 and 19 years",18255,2014
"Maryland","Male","18 and 19 years",83469,2014
"Massachusetts","Male","18 and 19 years",103932,2014
"Michigan","Male","18 and 19 years",147839,2014
"Minnesota","Male","18 and 19 years",74643,2014
"Mississippi","Male","18 and 19 years",45618,2014
"Missouri","Male","18 and 19 years",85685,2014
"Montana","Male","18 and 19 years",14510,2014
"Nebraska","Male","18 and 19 years",27218,2014
"Nevada","Male","18 and 19 years",34730,2014
"New Hampshire","Male","18 and 19 years",19561,2014
"New Jersey","Male","18 and 19 years",117672,2014
"New Mexico","Male","18 and 19 years",30662,2014
"New York","Male","18 and 19 years",283007,2014
"North Carolina","Male","18 and 19 years",142211,2014
"North Dakota","Male","18 and 19 years",11896,2014
"Ohio","Male","18 and 19 years",165694,2014
"Oklahoma","Male","18 and 19 years",55699,2014
"Oregon","Male","18 and 19 years",51523,2014
"Pennsylvania","Male","18 and 19 years",191020,2014
"Rhode Island","Male","18 and 19 years",17999,2014
"South Carolina","Male","18 and 19 years",70450,2014
"South Dakota","Male","18 and 19 years",12532,2014
"Tennessee","Male","18 and 19 years",87733,2014
"Texas","Male","18 and 19 years",391313,2014
"Utah","Male","18 and 19 years",43581,2014
"Vermont","Male","18 and 19 years",11011,2014
"Virginia","Male","18 and 19 years",120596,2014
"Washington","Male","18 and 19 years",92482,2014
"West Virginia","Male","18 and 19 years",25235,2014
"Wisconsin","Male","18 and 19 years",83858,2014
"Wyoming","Male","18 and 19 years",8377,2014
"Puerto Rico","Male","18 and 19 years",55347,2014
"Alabama","Male","20 years",36875,2014
"Alaska","Male","20 years",6865,2014
"Arizona","Male","20 years",52038,2014
"Arkansas","Male","20 years",23038,2014
"California","Male","20 years",314164,2014
"Colorado","Male","20 years",38049,2014
"Connecticut","Male","20 years",26706,2014
"Delaware","Male","20 years",7212,2014
"District of Columbia","Male","20 years",6015,2014
"Florida","Male","20 years",145684,2014
"Georgia","Male","20 years",79886,2014
"Hawaii","Male","20 years",11319,2014
"Idaho","Male","20 years",11933,2014
"Illinois","Male","20 years",95339,2014
"Indiana","Male","20 years",51181,2014
"Iowa","Male","20 years",24562,2014
"Kansas","Male","20 years",23529,2014
"Kentucky","Male","20 years",32978,2014
"Louisiana","Male","20 years",36432,2014
"Maine","Male","20 years",8963,2014
"Maryland","Male","20 years",42713,2014
"Massachusetts","Male","20 years",51755,2014
"Michigan","Male","20 years",80746,2014
"Minnesota","Male","20 years",36982,2014
"Mississippi","Male","20 years",25588,2014
"Missouri","Male","20 years",46905,2014
"Montana","Male","20 years",7775,2014
"Nebraska","Male","20 years",13663,2014
"Nevada","Male","20 years",19100,2014
"New Hampshire","Male","20 years",10108,2014
"New Jersey","Male","20 years",59871,2014
"New Mexico","Male","20 years",16478,2014
"New York","Male","20 years",156826,2014
"North Carolina","Male","20 years",80828,2014
"North Dakota","Male","20 years",7419,2014
"Ohio","Male","20 years",85905,2014
"Oklahoma","Male","20 years",30239,2014
"Oregon","Male","20 years",27816,2014
"Pennsylvania","Male","20 years",99456,2014
"Rhode Island","Male","20 years",9496,2014
"South Carolina","Male","20 years",41429,2014
"South Dakota","Male","20 years",6663,2014
"Tennessee","Male","20 years",49783,2014
"Texas","Male","20 years",211745,2014
"Utah","Male","20 years",19277,2014
"Vermont","Male","20 years",5657,2014
"Virginia","Male","20 years",64613,2014
"Washington","Male","20 years",51327,2014
"West Virginia","Male","20 years",13519,2014
"Wisconsin","Male","20 years",43629,2014
"Wyoming","Male","20 years",4721,2014
"Puerto Rico","Male","20 years",29369,2014
"Alabama","Male","21 years",38350,2014
"Alaska","Male","21 years",7205,2014
"Arizona","Male","21 years",51001,2014
"Arkansas","Male","21 years",23159,2014
"California","Male","21 years",307313,2014
"Colorado","Male","21 years",40332,2014
"Connecticut","Male","21 years",25092,2014
"Delaware","Male","21 years",6896,2014
"District of Columbia","Male","21 years",5353,2014
"Florida","Male","21 years",137523,2014
"Georgia","Male","21 years",74446,2014
"Hawaii","Male","21 years",11820,2014
"Idaho","Male","21 years",11491,2014
"Illinois","Male","21 years",94160,2014
"Indiana","Male","21 years",50902,2014
"Iowa","Male","21 years",23605,2014
"Kansas","Male","21 years",23238,2014
"Kentucky","Male","21 years",34286,2014
"Louisiana","Male","21 years",37083,2014
"Maine","Male","21 years",8605,2014
"Maryland","Male","21 years",42509,2014
"Massachusetts","Male","21 years",51548,2014
"Michigan","Male","21 years",75284,2014
"Minnesota","Male","21 years",37079,2014
"Mississippi","Male","21 years",23326,2014
"Missouri","Male","21 years",43461,2014
"Montana","Male","21 years",8037,2014
"Nebraska","Male","21 years",14620,2014
"Nevada","Male","21 years",19939,2014
"New Hampshire","Male","21 years",9807,2014
"New Jersey","Male","21 years",58555,2014
"New Mexico","Male","21 years",15919,2014
"New York","Male","21 years",147973,2014
"North Carolina","Male","21 years",77859,2014
"North Dakota","Male","21 years",7514,2014
"Ohio","Male","21 years",81819,2014
"Oklahoma","Male","21 years",29655,2014
"Oregon","Male","21 years",27574,2014
"Pennsylvania","Male","21 years",93002,2014
"Rhode Island","Male","21 years",8811,2014
"South Carolina","Male","21 years",37602,2014
"South Dakota","Male","21 years",6727,2014
"Tennessee","Male","21 years",46480,2014
"Texas","Male","21 years",205582,2014
"Utah","Male","21 years",24219,2014
"Vermont","Male","21 years",4893,2014
"Virginia","Male","21 years",63376,2014
"Washington","Male","21 years",50602,2014
"West Virginia","Male","21 years",13970,2014
"Wisconsin","Male","21 years",40978,2014
"Wyoming","Male","21 years",4531,2014
"Puerto Rico","Male","21 years",29036,2014
"Alabama","Male","22 to 24 years",98433,2014
"Alaska","Male","22 to 24 years",19715,2014
"Arizona","Male","22 to 24 years",141375,2014
"Arkansas","Male","22 to 24 years",58196,2014
"California","Male","22 to 24 years",874398,2014
"Colorado","Male","22 to 24 years",113412,2014
"Connecticut","Male","22 to 24 years",69718,2014
"Delaware","Male","22 to 24 years",18421,2014
"District of Columbia","Male","22 to 24 years",16118,2014
"Florida","Male","22 to 24 years",378419,2014
"Georgia","Male","22 to 24 years",209045,2014
"Hawaii","Male","22 to 24 years",33499,2014
"Idaho","Male","22 to 24 years",33833,2014
"Illinois","Male","22 to 24 years",265543,2014
"Indiana","Male","22 to 24 years",136711,2014
"Iowa","Male","22 to 24 years",65889,2014
"Kansas","Male","22 to 24 years",64608,2014
"Kentucky","Male","22 to 24 years",89753,2014
"Louisiana","Male","22 to 24 years",101567,2014
"Maine","Male","22 to 24 years",23011,2014
"Maryland","Male","22 to 24 years",120160,2014
"Massachusetts","Male","22 to 24 years",138441,2014
"Michigan","Male","22 to 24 years",202308,2014
"Minnesota","Male","22 to 24 years",108173,2014
"Mississippi","Male","22 to 24 years",63330,2014
"Missouri","Male","22 to 24 years",123614,2014
"Montana","Male","22 to 24 years",21149,2014
"Nebraska","Male","22 to 24 years",40522,2014
"Nevada","Male","22 to 24 years",55872,2014
"New Hampshire","Male","22 to 24 years",24639,2014
"New Jersey","Male","22 to 24 years",170065,2014
"New Mexico","Male","22 to 24 years",45170,2014
"New York","Male","22 to 24 years",419527,2014
"North Carolina","Male","22 to 24 years",200112,2014
"North Dakota","Male","22 to 24 years",20534,2014
"Ohio","Male","22 to 24 years",227021,2014
"Oklahoma","Male","22 to 24 years",84561,2014
"Oregon","Male","22 to 24 years",77764,2014
"Pennsylvania","Male","22 to 24 years",251460,2014
"Rhode Island","Male","22 to 24 years",23346,2014
"South Carolina","Male","22 to 24 years",98640,2014
"South Dakota","Male","22 to 24 years",17886,2014
"Tennessee","Male","22 to 24 years",129218,2014
"Texas","Male","22 to 24 years",571528,2014
"Utah","Male","22 to 24 years",77127,2014
"Vermont","Male","22 to 24 years",12731,2014
"Virginia","Male","22 to 24 years",173177,2014
"Washington","Male","22 to 24 years",149379,2014
"West Virginia","Male","22 to 24 years",35082,2014
"Wisconsin","Male","22 to 24 years",115514,2014
"Wyoming","Male","22 to 24 years",12703,2014
"Puerto Rico","Male","22 to 24 years",73835,2014
"Alabama","Male","25 to 29 years",154114,2014
"Alaska","Male","25 to 29 years",31480,2014
"Arizona","Male","25 to 29 years",227755,2014
"Arkansas","Male","25 to 29 years",95794,2014
"California","Male","25 to 29 years",1450748,2014
"Colorado","Male","25 to 29 years",200299,2014
"Connecticut","Male","25 to 29 years",111596,2014
"Delaware","Male","25 to 29 years",30063,2014
"District of Columbia","Male","25 to 29 years",34583,2014
"Florida","Male","25 to 29 years",625233,2014
"Georgia","Male","25 to 29 years",337639,2014
"Hawaii","Male","25 to 29 years",56037,2014
"Idaho","Male","25 to 29 years",54284,2014
"Illinois","Male","25 to 29 years",449685,2014
"Indiana","Male","25 to 29 years",209133,2014
"Iowa","Male","25 to 29 years",99552,2014
"Kansas","Male","25 to 29 years",99720,2014
"Kentucky","Male","25 to 29 years",140965,2014
"Louisiana","Male","25 to 29 years",166281,2014
"Maine","Male","25 to 29 years",37289,2014
"Maryland","Male","25 to 29 years",202556,2014
"Massachusetts","Male","25 to 29 years",230785,2014
"Michigan","Male","25 to 29 years",298686,2014
"Minnesota","Male","25 to 29 years",186142,2014
"Mississippi","Male","25 to 29 years",95583,2014
"Missouri","Male","25 to 29 years",200056,2014
"Montana","Male","25 to 29 years",32498,2014
"Nebraska","Male","25 to 29 years",64439,2014
"Nevada","Male","25 to 29 years",101148,2014
"New Hampshire","Male","25 to 29 years",38715,2014
"New Jersey","Male","25 to 29 years",285240,2014
"New Mexico","Male","25 to 29 years",72626,2014
"New York","Male","25 to 29 years",708673,2014
"North Carolina","Male","25 to 29 years",314433,2014
"North Dakota","Male","25 to 29 years",28252,2014
"Ohio","Male","25 to 29 years",364009,2014
"Oklahoma","Male","25 to 29 years",134493,2014
"Oregon","Male","25 to 29 years",132486,2014
"Pennsylvania","Male","25 to 29 years",411446,2014
"Rhode Island","Male","25 to 29 years",34860,2014
"South Carolina","Male","25 to 29 years",153931,2014
"South Dakota","Male","25 to 29 years",29207,2014
"Tennessee","Male","25 to 29 years",207926,2014
"Texas","Male","25 to 29 years",966527,2014
"Utah","Male","25 to 29 years",111434,2014
"Vermont","Male","25 to 29 years",17895,2014
"Virginia","Male","25 to 29 years",293445,2014
"Washington","Male","25 to 29 years",255054,2014
"West Virginia","Male","25 to 29 years",54314,2014
"Wisconsin","Male","25 to 29 years",184594,2014
"Wyoming","Male","25 to 29 years",21690,2014
"Puerto Rico","Male","25 to 29 years",113104,2014
"Alabama","Male","30 to 34 years",150111,2014
"Alaska","Male","30 to 34 years",27144,2014
"Arizona","Male","30 to 34 years",220383,2014
"Arkansas","Male","30 to 34 years",95451,2014
"California","Male","30 to 34 years",1371919,2014
"Colorado","Male","30 to 34 years",194838,2014
"Connecticut","Male","30 to 34 years",105689,2014
"Delaware","Male","30 to 34 years",28017,2014
"District of Columbia","Male","30 to 34 years",31120,2014
"Florida","Male","30 to 34 years",587918,2014
"Georgia","Male","30 to 34 years",331265,2014
"Hawaii","Male","30 to 34 years",49516,2014
"Idaho","Male","30 to 34 years",53728,2014
"Illinois","Male","30 to 34 years",443385,2014
"Indiana","Male","30 to 34 years",210770,2014
"Iowa","Male","30 to 34 years",99318,2014
"Kansas","Male","30 to 34 years",96315,2014
"Kentucky","Male","30 to 34 years",142833,2014
"Louisiana","Male","30 to 34 years",157143,2014
"Maine","Male","30 to 34 years",36187,2014
"Maryland","Male","30 to 34 years",192828,2014
"Massachusetts","Male","30 to 34 years",210640,2014
"Michigan","Male","30 to 34 years",290518,2014
"Minnesota","Male","30 to 34 years",186289,2014
"Mississippi","Male","30 to 34 years",94689,2014
"Missouri","Male","30 to 34 years",195554,2014
"Montana","Male","30 to 34 years",32415,2014
"Nebraska","Male","30 to 34 years",62660,2014
"Nevada","Male","30 to 34 years",100505,2014
"New Hampshire","Male","30 to 34 years",36562,2014
"New Jersey","Male","30 to 34 years",283756,2014
"New Mexico","Male","30 to 34 years",67906,2014
"New York","Male","30 to 34 years",658583,2014
"North Carolina","Male","30 to 34 years",310087,2014
"North Dakota","Male","30 to 34 years",24739,2014
"Ohio","Male","30 to 34 years",354846,2014
"Oklahoma","Male","30 to 34 years",129825,2014
"Oregon","Male","30 to 34 years",135321,2014
"Pennsylvania","Male","30 to 34 years",384302,2014
"Rhode Island","Male","30 to 34 years",31645,2014
"South Carolina","Male","30 to 34 years",147164,2014
"South Dakota","Male","30 to 34 years",27498,2014
"Tennessee","Male","30 to 34 years",207171,2014
"Texas","Male","30 to 34 years",938176,2014
"Utah","Male","30 to 34 years",114063,2014
"Vermont","Male","30 to 34 years",17308,2014
"Virginia","Male","30 to 34 years",280199,2014
"Washington","Male","30 to 34 years",246034,2014
"West Virginia","Male","30 to 34 years",57167,2014
"Wisconsin","Male","30 to 34 years",185295,2014
"Wyoming","Male","30 to 34 years",20751,2014
"Puerto Rico","Male","30 to 34 years",113613,2014
"Alabama","Male","35 to 39 years",141465,2014
"Alaska","Male","35 to 39 years",23689,2014
"Arizona","Male","35 to 39 years",206051,2014
"Arkansas","Male","35 to 39 years",91206,2014
"California","Male","35 to 39 years",1283095,2014
"Colorado","Male","35 to 39 years",182604,2014
"Connecticut","Male","35 to 39 years",102026,2014
"Delaware","Male","35 to 39 years",26674,2014
"District of Columbia","Male","35 to 39 years",22517,2014
"Florida","Male","35 to 39 years",574710,2014
"Georgia","Male","35 to 39 years",323692,2014
"Hawaii","Male","35 to 39 years",43796,2014
"Idaho","Male","35 to 39 years",49115,2014
"Illinois","Male","35 to 39 years",415749,2014
"Indiana","Male","35 to 39 years",202257,2014
"Iowa","Male","35 to 39 years",89797,2014
"Kansas","Male","35 to 39 years",86359,2014
"Kentucky","Male","35 to 39 years",138650,2014
"Louisiana","Male","35 to 39 years",140501,2014
"Maine","Male","35 to 39 years",36847,2014
"Maryland","Male","35 to 39 years",177959,2014
"Massachusetts","Male","35 to 39 years",195425,2014
"Michigan","Male","35 to 39 years",286312,2014
"Minnesota","Male","35 to 39 years",164400,2014
"Mississippi","Male","35 to 39 years",88624,2014
"Missouri","Male","35 to 39 years",180805,2014
"Montana","Male","35 to 39 years",29221,2014
"Nebraska","Male","35 to 39 years",55665,2014
"Nevada","Male","35 to 39 years",95714,2014
"New Hampshire","Male","35 to 39 years",37639,2014
"New Jersey","Male","35 to 39 years",280317,2014
"New Mexico","Male","35 to 39 years",61557,2014
"New York","Male","35 to 39 years",607568,2014
"North Carolina","Male","35 to 39 years",311113,2014
"North Dakota","Male","35 to 39 years",20847,2014
"Ohio","Male","35 to 39 years",338597,2014
"Oklahoma","Male","35 to 39 years",117466,2014
"Oregon","Male","35 to 39 years",124961,2014
"Pennsylvania","Male","35 to 39 years",367583,2014
"Rhode Island","Male","35 to 39 years",30527,2014
"South Carolina","Male","35 to 39 years",142024,2014
"South Dakota","Male","35 to 39 years",24602,2014
"Tennessee","Male","35 to 39 years",202413,2014
"Texas","Male","35 to 39 years",893542,2014
"Utah","Male","35 to 39 years",99504,2014
"Vermont","Male","35 to 39 years",17170,2014
"Virginia","Male","35 to 39 years",262634,2014
"Washington","Male","35 to 39 years",227554,2014
"West Virginia","Male","35 to 39 years",56490,2014
"Wisconsin","Male","35 to 39 years",172699,2014
"Wyoming","Male","35 to 39 years",18114,2014
"Puerto Rico","Male","35 to 39 years",109876,2014
"Alabama","Male","40 to 44 years",156269,2014
"Alaska","Male","40 to 44 years",24628,2014
"Arizona","Male","40 to 44 years",212646,2014
"Arkansas","Male","40 to 44 years",91419,2014
"California","Male","40 to 44 years",1312588,2014
"Colorado","Male","40 to 44 years",182434,2014
"Connecticut","Male","40 to 44 years",122087,2014
"Delaware","Male","40 to 44 years",28037,2014
"District of Columbia","Male","40 to 44 years",21044,2014
"Florida","Male","40 to 44 years",625711,2014
"Georgia","Male","40 to 44 years",353325,2014
"Hawaii","Male","40 to 44 years",45665,2014
"Idaho","Male","40 to 44 years",49962,2014
"Illinois","Male","40 to 44 years",430960,2014
"Indiana","Male","40 to 44 years",213973,2014
"Iowa","Male","40 to 44 years",94306,2014
"Kansas","Male","40 to 44 years",88649,2014
"Kentucky","Male","40 to 44 years",146583,2014
"Louisiana","Male","40 to 44 years",140352,2014
"Maine","Male","40 to 44 years",43052,2014
"Maryland","Male","40 to 44 years",198230,2014
"Massachusetts","Male","40 to 44 years",223183,2014
"Michigan","Male","40 to 44 years",321233,2014
"Minnesota","Male","40 to 44 years",174436,2014
"Mississippi","Male","40 to 44 years",93832,2014
"Missouri","Male","40 to 44 years",185077,2014
"Montana","Male","40 to 44 years",28292,2014
"Nebraska","Male","40 to 44 years",57125,2014
"Nevada","Male","40 to 44 years",98723,2014
"New Hampshire","Male","40 to 44 years",45375,2014
"New Jersey","Male","40 to 44 years",310007,2014
"New Mexico","Male","40 to 44 years",61694,2014
"New York","Male","40 to 44 years",642845,2014
"North Carolina","Male","40 to 44 years",335267,2014
"North Dakota","Male","40 to 44 years",19955,2014
"Ohio","Male","40 to 44 years",374433,2014
"Oklahoma","Male","40 to 44 years",117619,2014
"Oregon","Male","40 to 44 years",132667,2014
"Pennsylvania","Male","40 to 44 years",407888,2014
"Rhode Island","Male","40 to 44 years",33409,2014
"South Carolina","Male","40 to 44 years",150763,2014
"South Dakota","Male","40 to 44 years",24051,2014
"Tennessee","Male","40 to 44 years",217130,2014
"Texas","Male","40 to 44 years",879594,2014
"Utah","Male","40 to 44 years",84602,2014
"Vermont","Male","40 to 44 years",19908,2014
"Virginia","Male","40 to 44 years",281536,2014
"Washington","Male","40 to 44 years",235237,2014
"West Virginia","Male","40 to 44 years",61121,2014
"Wisconsin","Male","40 to 44 years",183099,2014
"Wyoming","Male","40 to 44 years",17598,2014
"Puerto Rico","Male","40 to 44 years",113533,2014
"Alabama","Male","45 to 49 years",160350,2014
"Alaska","Male","45 to 49 years",25621,2014
"Arizona","Male","45 to 49 years",207075,2014
"Arkansas","Male","45 to 49 years",94994,2014
"California","Male","45 to 49 years",1314081,2014
"Colorado","Male","45 to 49 years",176216,2014
"Connecticut","Male","45 to 49 years",135259,2014
"Delaware","Male","45 to 49 years",31261,2014
"District of Columbia","Male","45 to 49 years",19324,2014
"Florida","Male","45 to 49 years",668354,2014
"Georgia","Male","45 to 49 years",346132,2014
"Hawaii","Male","45 to 49 years",45375,2014
"Idaho","Male","45 to 49 years",49085,2014
"Illinois","Male","45 to 49 years",441400,2014
"Indiana","Male","45 to 49 years",221353,2014
"Iowa","Male","45 to 49 years",101206,2014
"Kansas","Male","45 to 49 years",92078,2014
"Kentucky","Male","45 to 49 years",151862,2014
"Louisiana","Male","45 to 49 years",150019,2014
"Maine","Male","45 to 49 years",48742,2014
"Maryland","Male","45 to 49 years",212508,2014
"Massachusetts","Male","45 to 49 years",242369,2014
"Michigan","Male","45 to 49 years",345708,2014
"Minnesota","Male","45 to 49 years",189154,2014
"Mississippi","Male","45 to 49 years",94651,2014
"Missouri","Male","45 to 49 years",201776,2014
"Montana","Male","45 to 49 years",31977,2014
"Nebraska","Male","45 to 49 years",59239,2014
"Nevada","Male","45 to 49 years",98301,2014
"New Hampshire","Male","45 to 49 years",52241,2014
"New Jersey","Male","45 to 49 years",330704,2014
"New Mexico","Male","45 to 49 years",64771,2014
"New York","Male","45 to 49 years",685290,2014
"North Carolina","Male","45 to 49 years",333990,2014
"North Dakota","Male","45 to 49 years",21769,2014
"Ohio","Male","45 to 49 years",394887,2014
"Oklahoma","Male","45 to 49 years",120181,2014
"Oregon","Male","45 to 49 years",126518,2014
"Pennsylvania","Male","45 to 49 years",445485,2014
"Rhode Island","Male","45 to 49 years",37106,2014
"South Carolina","Male","45 to 49 years",155423,2014
"South Dakota","Male","45 to 49 years",26540,2014
"Tennessee","Male","45 to 49 years",219627,2014
"Texas","Male","45 to 49 years",858695,2014
"Utah","Male","45 to 49 years",76351,2014
"Vermont","Male","45 to 49 years",22047,2014
"Virginia","Male","45 to 49 years",292350,2014
"Washington","Male","45 to 49 years",235530,2014
"West Virginia","Male","45 to 49 years",63029,2014
"Wisconsin","Male","45 to 49 years",204286,2014
"Wyoming","Male","45 to 49 years",17948,2014
"Puerto Rico","Male","45 to 49 years",112850,2014
"Alabama","Male","50 to 54 years",167838,2014
"Alaska","Male","50 to 54 years",28053,2014
"Arizona","Male","50 to 54 years",208763,2014
"Arkansas","Male","50 to 54 years",99543,2014
"California","Male","50 to 54 years",1297245,2014
"Colorado","Male","50 to 54 years",184128,2014
"Connecticut","Male","50 to 54 years",139152,2014
"Delaware","Male","50 to 54 years",32190,2014
"District of Columbia","Male","50 to 54 years",18873,2014
"Florida","Male","50 to 54 years",678079,2014
"Georgia","Male","50 to 54 years",334336,2014
"Hawaii","Male","50 to 54 years",47288,2014
"Idaho","Male","50 to 54 years",52141,2014
"Illinois","Male","50 to 54 years",456807,2014
"Indiana","Male","50 to 54 years",233482,2014
"Iowa","Male","50 to 54 years",110404,2014
"Kansas","Male","50 to 54 years",99735,2014
"Kentucky","Male","50 to 54 years",156714,2014
"Louisiana","Male","50 to 54 years",159271,2014
"Maine","Male","50 to 54 years",53921,2014
"Maryland","Male","50 to 54 years",216285,2014
"Massachusetts","Male","50 to 54 years",246561,2014
"Michigan","Male","50 to 54 years",370128,2014
"Minnesota","Male","50 to 54 years",203324,2014
"Mississippi","Male","50 to 54 years",99500,2014
"Missouri","Male","50 to 54 years",219696,2014
"Montana","Male","50 to 54 years",37437,2014
"Nebraska","Male","50 to 54 years",65161,2014
"Nevada","Male","50 to 54 years",95245,2014
"New Hampshire","Male","50 to 54 years",56024,2014
"New Jersey","Male","50 to 54 years",334593,2014
"New Mexico","Male","50 to 54 years",70815,2014
"New York","Male","50 to 54 years",695370,2014
"North Carolina","Male","50 to 54 years",331502,2014
"North Dakota","Male","50 to 54 years",25230,2014
"Ohio","Male","50 to 54 years",426265,2014
"Oklahoma","Male","50 to 54 years",130591,2014
"Oregon","Male","50 to 54 years",132931,2014
"Pennsylvania","Male","50 to 54 years",477230,2014
"Rhode Island","Male","50 to 54 years",38702,2014
"South Carolina","Male","50 to 54 years",159793,2014
"South Dakota","Male","50 to 54 years",29779,2014
"Tennessee","Male","50 to 54 years",222989,2014
"Texas","Male","50 to 54 years",853229,2014
"Utah","Male","50 to 54 years",76919,2014
"Vermont","Male","50 to 54 years",25013,2014
"Virginia","Male","50 to 54 years",294431,2014
"Washington","Male","50 to 54 years",246367,2014
"West Virginia","Male","50 to 54 years",67543,2014
"Wisconsin","Male","50 to 54 years",219059,2014
"Wyoming","Male","50 to 54 years",21172,2014
"Puerto Rico","Male","50 to 54 years",109556,2014
"Alabama","Male","55 to 59 years",154438,2014
"Alaska","Male","55 to 59 years",26812,2014
"Arizona","Male","55 to 59 years",189095,2014
"Arkansas","Male","55 to 59 years",91505,2014
"California","Male","55 to 59 years",1131907,2014
"Colorado","Male","55 to 59 years",167664,2014
"Connecticut","Male","55 to 59 years",123917,2014
"Delaware","Male","55 to 59 years",28825,2014
"District of Columbia","Male","55 to 59 years",16939,2014
"Florida","Male","55 to 59 years",610387,2014
"Georgia","Male","55 to 59 years",286681,2014
"Hawaii","Male","55 to 59 years",45020,2014
"Idaho","Male","55 to 59 years",48938,2014
"Illinois","Male","55 to 59 years",408929,2014
"Indiana","Male","55 to 59 years",214508,2014
"Iowa","Male","55 to 59 years",103266,2014
"Kansas","Male","55 to 59 years",94434,2014
"Kentucky","Male","55 to 59 years",145634,2014
"Louisiana","Male","55 to 59 years",147605,2014
"Maine","Male","55 to 59 years",51069,2014
"Maryland","Male","55 to 59 years",188809,2014
"Massachusetts","Male","55 to 59 years",221795,2014
"Michigan","Male","55 to 59 years",344568,2014
"Minnesota","Male","55 to 59 years",184462,2014
"Mississippi","Male","55 to 59 years",93723,2014
"Missouri","Male","55 to 59 years",196309,2014
"Montana","Male","55 to 59 years",38789,2014
"Nebraska","Male","55 to 59 years",60423,2014
"Nevada","Male","55 to 59 years",83426,2014
"New Hampshire","Male","55 to 59 years",49889,2014
