"state","sex","age","pop","year"
"Tennessee","Male","18 and 19 years",88033,2010
"Texas","Male","18 and 19 years",381937,2010
"Utah","Male","18 and 19 years",43904,2010
"Vermont","Male","18 and 19 years",10996,2010
"Virginia","Male","18 and 19 years",120615,2010
"Washington","Male","18 and 19 years",94684,2010
"West Virginia","Male","18 and 19 years",26785,2010
"Wisconsin","Male","18 and 19 years",83180,2010
"Wyoming","Male","18 and 19 years",8514,2010
"Puerto Rico","Male","18 and 19 years",59044,2010
"Alabama","Male","20 years",37621,2010
"Alaska","Male","20 years",6585,2010
"Arizona","Male","20 years",46566,2010
"Arkansas","Male","20 years",21126,2010
"California","Male","20 years",300126,2010
"Colorado","Male","20 years",36623,2010
"Connecticut","Male","20 years",26102,2010
"Delaware","Male","20 years",6774,2010
"District of Columbia","Male","20 years",4857,2010
"Florida","Male","20 years",135948,2010
"Georgia","Male","20 years",71184,2010
"Hawaii","Male","20 years",11525,2010
"Idaho","Male","20 years",9494,2010
"Illinois","Male","20 years",96401,2010
"Indiana","Male","20 years",50764,2010
"Iowa","Male","20 years",24773,2010
"Kansas","Male","20 years",21668,2010
"Kentucky","Male","20 years",30575,2010
"Louisiana","Male","20 years",36055,2010
"Maine","Male","20 years",9498,2010
"Maryland","Male","20 years",40919,2010
"Massachusetts","Male","20 years",50776,2010
"Michigan","Male","20 years",76491,2010
"Minnesota","Male","20 years",36741,2010
"Mississippi","Male","20 years",23445,2010
"Missouri","Male","20 years",44739,2010
"Montana","Male","20 years",7500,2010
"Nebraska","Male","20 years",13622,2010
"Nevada","Male","20 years",18166,2010
"New Hampshire","Male","20 years",10722,2010
"New Jersey","Male","20 years",58555,2010
"New Mexico","Male","20 years",16201,2010
"New York","Male","20 years",154602,2010
"North Carolina","Male","20 years",71270,2010
"North Dakota","Male","20 years",6444,2010
"Ohio","Male","20 years",82925,2010
"Oklahoma","Male","20 years",27851,2010
"Oregon","Male","20 years",25802,2010
"Pennsylvania","Male","20 years",96069,2010
"Rhode Island","Male","20 years",10328,2010
"South Carolina","Male","20 years",37431,2010
"South Dakota","Male","20 years",6393,2010
"Tennessee","Male","20 years",45249,2010
"Texas","Male","20 years",196463,2010
"Utah","Male","20 years",18236,2010
"Vermont","Male","20 years",6837,2010
"Virginia","Male","20 years",61487,2010
"Washington","Male","20 years",51001,2010
"West Virginia","Male","20 years",12941,2010
"Wisconsin","Male","20 years",43816,2010
"Wyoming","Male","20 years",4423,2010
"Puerto Rico","Male","20 years",31658,2010
"Alabama","Male","21 years",34192,2010
"Alaska","Male","21 years",6392,2010
"Arizona","Male","21 years",45513,2010
"Arkansas","Male","21 years",21070,2010
"California","Male","21 years",289213,2010
"Colorado","Male","21 years",38882,2010
"Connecticut","Male","21 years",24418,2010
"Delaware","Male","21 years",6910,2010
"District of Columbia","Male","21 years",4477,2010
"Florida","Male","21 years",130943,2010
"Georgia","Male","21 years",67903,2010
"Hawaii","Male","21 years",11055,2010
"Idaho","Male","21 years",10390,2010
"Illinois","Male","21 years",92093,2010
"Indiana","Male","21 years",49982,2010
"Iowa","Male","21 years",22444,2010
"Kansas","Male","21 years",21636,2010
"Kentucky","Male","21 years",32059,2010
"Louisiana","Male","21 years",34482,2010
"Maine","Male","21 years",8331,2010
"Maryland","Male","21 years",39217,2010
"Massachusetts","Male","21 years",48868,2010
"Michigan","Male","21 years",71309,2010
"Minnesota","Male","21 years",36740,2010
"Mississippi","Male","21 years",24434,2010
"Missouri","Male","21 years",42824,2010
"Montana","Male","21 years",7487,2010
"Nebraska","Male","21 years",13981,2010
"Nevada","Male","21 years",18469,2010
"New Hampshire","Male","21 years",8688,2010
"New Jersey","Male","21 years",56284,2010
"New Mexico","Male","21 years",15430,2010
"New York","Male","21 years",141941,2010
"North Carolina","Male","21 years",70482,2010
"North Dakota","Male","21 years",6460,2010
"Ohio","Male","21 years",80087,2010
"Oklahoma","Male","21 years",28821,2010
"Oregon","Male","21 years",26544,2010
"Pennsylvania","Male","21 years",92362,2010
"Rhode Island","Male","21 years",8893,2010
"South Carolina","Male","21 years",34912,2010
"South Dakota","Male","21 years",6277,2010
"Tennessee","Male","21 years",43753,2010
"Texas","Male","21 years",189818,2010
"Utah","Male","21 years",22858,2010
"Vermont","Male","21 years",5107,2010
"Virginia","Male","21 years",59460,2010
"Washington","Male","21 years",46350,2010
"West Virginia","Male","21 years",13831,2010
"Wisconsin","Male","21 years",40663,2010
"Wyoming","Male","21 years",4012,2010
"Puerto Rico","Male","21 years",29984,2010
"Alabama","Male","22 to 24 years",93485,2010
"Alaska","Male","22 to 24 years",17403,2010
"Arizona","Male","22 to 24 years",132930,2010
"Arkansas","Male","22 to 24 years",56684,2010
"California","Male","22 to 24 years",821685,2010
"Colorado","Male","22 to 24 years",104615,2010
"Connecticut","Male","22 to 24 years",63347,2010
"Delaware","Male","22 to 24 years",17246,2010
"District of Columbia","Male","22 to 24 years",15998,2010
"Florida","Male","22 to 24 years",352153,2010
"Georgia","Male","22 to 24 years",197821,2010
"Hawaii","Male","22 to 24 years",29573,2010
"Idaho","Male","22 to 24 years",35974,2010
"Illinois","Male","22 to 24 years",259276,2010
"Indiana","Male","22 to 24 years",126773,2010
"Iowa","Male","22 to 24 years",63001,2010
"Kansas","Male","22 to 24 years",62154,2010
"Kentucky","Male","22 to 24 years",84203,2010
"Louisiana","Male","22 to 24 years",97320,2010
"Maine","Male","22 to 24 years",22526,2010
"Maryland","Male","22 to 24 years",114045,2010
"Massachusetts","Male","22 to 24 years",131019,2010
"Michigan","Male","22 to 24 years",188104,2010
"Minnesota","Male","22 to 24 years",109445,2010
"Mississippi","Male","22 to 24 years",59076,2010
"Missouri","Male","22 to 24 years",119712,2010
"Montana","Male","22 to 24 years",20509,2010
"Nebraska","Male","22 to 24 years",39807,2010
"Nevada","Male","22 to 24 years",53182,2010
"New Hampshire","Male","22 to 24 years",23320,2010
"New Jersey","Male","22 to 24 years",157212,2010
"New Mexico","Male","22 to 24 years",41916,2010
"New York","Male","22 to 24 years",392584,2010
"North Carolina","Male","22 to 24 years",186059,2010
"North Dakota","Male","22 to 24 years",19124,2010
"Ohio","Male","22 to 24 years",216666,2010
"Oklahoma","Male","22 to 24 years",82627,2010
"Oregon","Male","22 to 24 years",75964,2010
"Pennsylvania","Male","22 to 24 years",239533,2010
"Rhode Island","Male","22 to 24 years",21179,2010
"South Carolina","Male","22 to 24 years",90526,2010
"South Dakota","Male","22 to 24 years",17127,2010
"Tennessee","Male","22 to 24 years",119615,2010
"Texas","Male","22 to 24 years",534134,2010
"Utah","Male","22 to 24 years",75316,2010
"Vermont","Male","22 to 24 years",10851,2010
"Virginia","Male","22 to 24 years",168253,2010
"Washington","Male","22 to 24 years",138655,2010
"West Virginia","Male","22 to 24 years",33346,2010
"Wisconsin","Male","22 to 24 years",115392,2010
"Wyoming","Male","22 to 24 years",12793,2010
"Puerto Rico","Male","22 to 24 years",73237,2010
"Alabama","Male","25 to 29 years",151445,2010
"Alaska","Male","25 to 29 years",26540,2010
"Arizona","Male","25 to 29 years",228446,2010
"Arkansas","Male","25 to 29 years",95926,2010
"California","Male","25 to 29 years",1390894,2010
"Colorado","Male","25 to 29 years",182586,2010
"Connecticut","Male","25 to 29 years",103014,2010
"Delaware","Male","25 to 29 years",28461,2010
"District of Columbia","Male","25 to 29 years",29015,2010
"Florida","Male","25 to 29 years",583193,2010
"Georgia","Male","25 to 29 years",328444,2010
"Hawaii","Male","25 to 29 years",49562,2010
"Idaho","Male","25 to 29 years",53177,2010
"Illinois","Male","25 to 29 years",453217,2010
